0,02Ａスマートフォン（計）,02Ｂ携帯電話（計）,02Ｃパソコン（計）,02Ｄタブレット（計）,02Ｅ携帯音楽プレイヤー,02Ｆゲーム機（計）,02Ｇインターネット接続テレビ,37コミニュケーション,37ニュース,37情報検索,37地図・ナビゲーション,37音楽視聴,37動画視聴,37電子書籍,37ゲーム,37ショッピング・オークション,52平均（分）,68無線ＬＡＮ利用（計）,85悪口等のメール・メッセージ送られた,85悪口等のメール・メッセージ送った,85掲示板で自分や他人の情報書き込んだ,85親に話しにくいサイトを見た,85ゲームなどでお金を使いすぎた,85差別内容掲載サイトにアクセスする,85知らない人や、お店からメール来た,85迷惑メッセージ・メールを送られた,85ネットで知り合った人とメール等した,85ネットで知り合った同性と会った,85ネットで知り合った異性と会った,85ネットで知り合った人との関係悩んだ,85ネットにのめりこんで勉強できない,85その他困ったことがある,86利用する時間を決めている,86利用する場所を決めている,86メール・メッセージを送る相手の制限,86利用サイト・アプリ内容を決めている,86送信・投稿内容を決めている,86利用者情報を漏れないようにしている,86料金上限や課金方法を決めている,86困ったときはすぐに保護者に連絡する,86その他,87学校で教えてもらった,87親（保護者）から教えてもらった,87兄弟・姉妹から教えてもらった,87機器の購入時に販売員より説明された,87機器の購入時に資料をもらった,87友だちから教えてもらった,87テレビや本・パンフレットで知った,87インターネットで知った,87その他,88男性,89平均,93１人以上いる
02Ａスマートフォン（計）,1.0,-0.11779552110513566,-0.18122249108732116,0.07438033743852616,-0.17368855070307013,-0.041106214592375914,0.3033764956596216,0.4818110418923797,0.35537483938663833,0.34257918454965136,0.4302055963771186,0.31801563147426504,0.30954963258514645,0.2548715353851248,0.04744932624069067,0.18544526035075556,0.4392137535783069,0.06301491552638323,0.21604884427731613,0.2334792861931178,-0.0400325341484886,0.1660608650834434,0.07564278021046203,0.07362584695516794,0.17030640981185083,0.2564443282850544,0.17331735990844663,0.1320939178523767,0.07030112906777938,0.10735203774087894,0.22375076286751808,0.21166946290660793,-0.16586470434871198,-0.031311164645629594,0.14723596654534307,0.1517604226655302,0.19664938138467414,0.1649355600938166,0.06781838787994833,0.15768978137799267,-0.023192219017486953,0.06604341074460894,0.03066150649206951,-0.056322097476738324,0.21786268996591926,0.12184333866719471,0.0821476054871514,0.0996514038532448,0.23622147661419096,0.03351424263872165,0.05222361651810371,0.4444996784372771,0.06682009439525403
02Ｂ携帯電話（計）,-0.11779552110513566,1.0,0.2746586034417707,-0.0072372207763497145,0.144372454514442,0.14656730945957075,0.09175048635057959,0.05145174867005582,0.013485310150750697,0.09157635874398037,-0.07927989438343164,-0.16778894885916246,-0.14100018155471616,0.03774644497597183,0.008428548677722157,-0.1181504226447716,-0.06257106284940273,0.060974856821123344,0.033252046707806966,-0.09178283699320543,-0.06060880529620469,0.018870773700844824,0.012658227037498396,0.019493771861594577,-0.01566768237839849,0.010304374817157699,-0.17910266999374025,-0.12626888740546913,-0.06621575863065671,-0.19032415716546683,-0.09292495664865777,-0.10956055520676032,0.04677795129034009,0.09863150898926183,0.28451938928668163,0.18668240596303276,0.177946003810386,0.335210181871841,0.18016411566309956,0.225767648708763,0.011509528653205182,-0.1785098648635122,0.07661518327458987,0.05585275288961172,0.08939067763717716,0.1972180465827437,0.08620897470531971,0.07086866325167746,-0.02420900843087177,-0.039787679350157895,0.06304779545312646,-0.14781348844136255,0.04893028099378284
02Ｃパソコン（計）,-0.18122249108732116,0.2746586034417707,1.0,0.058070262370409194,0.27219290265271,-0.003524890112617123,0.0320510156762848,-0.33285331218427316,-0.19080028273385477,0.02008788386116261,-0.18128430226401873,-0.2238453419004926,-0.14626630632482315,-0.06169165007947571,-0.05855480323750879,-0.20206206950075764,-0.04149551906993581,0.15765990056066703,0.11554532297862127,0.03864427563950402,0.16823725463412545,-0.054601468974784025,-0.004930000634186696,0.09641402522056526,0.09537407355101488,0.12618735457867022,-0.003007379877936814,0.045064927073233264,-0.0525326321348788,-0.11277242155733133,0.058728072382631454,0.029028703727049347,-0.05690917429711473,0.1598424087844657,-0.10808682687315779,0.057994090092069656,0.055737531015106756,0.12767267104319246,0.08259277712013235,0.08189804943347848,-0.10849896047384158,0.11765085019910754,0.1334880708024976,-0.034559010572124606,0.04496477778445237,0.10833832676010721,0.12522297746113242,0.11177915375813349,0.03905697634640234,-0.13255120908106657,0.046182249368269715,0.0038239559307791365,-0.08522171425299656
02Ｄタブレット（計）,0.07438033743852616,-0.0072372207763497145,0.058070262370409194,1.0,0.01993193601100237,0.2226792337409359,0.3527300040320891,0.17701597020388457,0.20210136100365392,0.1197764453073799,0.16809402803891837,0.02764950714098818,0.22541786885678405,0.09222853673238293,0.1295773274196204,-0.0033798703782948196,-0.015518908991221164,-0.08073195311093913,0.018705773345979976,-0.03710366424638246,-0.09614870981529319,-0.08472370938524194,0.011082331998074556,-0.06781917289342444,-0.024886798178422296,-0.10939096158709156,-0.12924457206492063,-0.228459985578306,-0.1894951622955131,-0.03887046334258891,0.014225280104176053,-0.07167881118841005,0.2607284084072469,0.32763009533050635,0.13507292736340132,0.060293519969197344,-0.09078811845077173,0.10653499598721577,0.12670858337886376,0.08800016922929875,0.12590236038142893,0.2093827717342802,0.13321151663210196,0.09710700985570073,-0.021325886225856593,0.046532613298605044,0.026594569718947112,0.004987360741694155,0.06908106145935435,0.10768896011553399,0.1495437019265082,-0.07488205529728538,-0.17875797426233087
02Ｅ携帯音楽プレイヤー,-0.17368855070307013,0.144372454514442,0.27219290265271,0.01993193601100237,1.0,0.17985044484132706,-0.05053984339493303,-0.16584785964033988,-0.22301483045574283,-0.10937370785324708,-0.1389628111341932,-0.0826829307467615,-0.14954009929278206,-0.0980595546780611,0.16894611163818463,-0.14173641249194005,0.005001374343893903,0.08110845965381576,0.14892401082282208,0.15834857049529455,-0.07509312927522666,0.023835705166215984,0.06909512763916964,-0.0840517600336142,-0.014809837921067362,-0.0580155580726128,0.06668227245182207,-0.029238133035866257,0.012056489087829867,-0.0035998278888385604,0.12035095248034798,0.015927720910066764,0.036011487403466165,0.034178375457456944,-0.12347182682230795,-0.09003048357215085,-0.0012777832231414981,0.0634449523051232,0.03788832319081326,0.009970107785354787,-0.005556709133930777,0.03039836136508226,-0.04782787546970397,0.07003617999521779,0.061047411715670484,0.06192400131199435,0.12579758001866026,-0.0006565905658449665,0.12756346703276053,-0.10908626938811464,-0.003983229456809613,0.14680749076102095,-0.02891386277224654
02Ｆゲーム機（計）,-0.041106214592375914,0.14656730945957075,-0.003524890112617123,0.2226792337409359,0.17985044484132706,1.0,0.2431446646764338,0.03812297631529289,0.014439779217667823,-0.0415148397632843,0.034146829896478485,-0.2047464745770196,0.028007965438715983,-0.030896044704211614,0.43531397840707575,0.04458394677578496,0.15631046960102957,0.0191707355630407,0.030484415621520072,-0.0681387499395774,-0.0697576346111616,-0.0168062624701434,0.047565861192286736,0.01410027356613111,-0.014505902903606085,-0.0849705525781042,-0.03452182079242389,-0.09670824339209286,-0.22427097537585022,0.08190371638252977,0.006002639027428049,-0.0699542457533682,0.0026070871913109537,0.06613259847834833,0.16855493461107088,0.051433121614085885,0.10921533147386726,0.24194067531944322,0.282075554877645,0.1866259725987914,0.06796742354275802,0.07274570254676764,0.06977884680186311,0.06081372953362769,0.10875222299164806,0.2602990737857778,0.00015356336178314216,0.12383490672146044,0.2079974711485368,-0.06615969143542462,0.20249646780500113,-0.1501634735204909,-0.22878646836151012
02Ｇインターネット接続テレビ,0.3033764956596216,0.09175048635057959,0.0320510156762848,0.3527300040320891,-0.05053984339493303,0.2431446646764338,1.0,0.3459703680621925,0.2634199341328318,0.17726410828107197,0.16571323830342538,0.2863682661467843,0.3245929018465175,0.3058955772733147,0.23699452368532714,0.2329035234433696,0.24767353674237888,0.12639600600244363,0.15012316870911155,0.07997237220045014,-0.09622982776659565,0.11296922614501148,0.1836832320775055,0.20358522499794918,0.12467268131950479,0.18726823576572485,0.1259326245685611,0.0941298980264675,-0.05546418659662499,0.19127439087119413,0.08158500588606733,-0.04029363261389007,-0.07767885332646364,0.17897528994054224,0.2045130166974972,0.06304975406038986,0.05272399494830503,0.17431881641177313,0.24981594451616077,0.12960295034660874,-0.04659376727953678,0.18387070722934673,0.15951598764802113,0.07749307053632666,-0.056242693890552566,0.051116165912620345,0.10095837288162408,0.15687445593199836,0.10894691205773926,-0.10457461839689658,0.07992746419894158,-0.10931137978429979,-0.06467648966172307
37コミニュケーション,0.4818110418923797,0.05145174867005582,-0.33285331218427316,0.17701597020388457,-0.16584785964033988,0.03812297631529289,0.3459703680621925,1.0,0.5041499000409613,0.4011625192723355,0.489211848618514,0.5349288446607179,0.34177490547060335,0.35854669363454433,0.13134256027330554,0.41478817782607813,0.39010307915246223,0.15757997759397546,0.11764253902698156,0.10413787339031816,-0.06131197636200515,0.066473421965152,0.1960691129964303,0.19022296164963673,0.28133919310937144,0.1997542211743957,0.2604895732422125,0.20307802488314897,0.12722357285509672,0.18091249545885282,0.09474424640382174,0.0687008113657121,-0.09882053038446093,0.036393304402116314,0.21532214315581522,0.06823707601690342,0.14990272052371031,0.1801060102113721,0.22337026044266373,0.15437405841489876,-0.1253300261451909,-0.041613748158387066,0.10670125989651712,-0.12164527041841215,0.0811113404270583,0.14291946610547004,0.05540992592270378,0.03517083846293966,0.21354196876895115,-0.007035159049732743,-0.13536567539101746,0.22330717298941144,0.056144749798101586
37ニュース,0.35537483938663833,0.013485310150750697,-0.19080028273385477,0.20210136100365392,-0.22301483045574283,0.014439779217667823,0.2634199341328318,0.5041499000409613,1.0,0.44211981132386774,0.6269439983997647,0.4503504933558657,0.4317184026466941,0.45226384619533916,0.08404007677227353,0.34425654294219704,0.22965447822963433,0.10376882579370533,0.0003864199887009191,0.03333422027695425,0.01452087428307524,0.18272626613470325,0.1968450726888574,0.1172574092143948,0.17459261944923107,0.2142548968433286,0.1983112856580084,0.1373938362850405,0.0652903752494422,0.1465407540371777,0.10838153815376092,-0.0660869467877402,0.018610977156718393,0.09297600980695093,0.1298098173283984,0.022465504967383188,0.23145840386879812,0.23504178721908464,0.18481124565532164,0.201179162412689,0.04076520441774054,0.0583954799950059,0.20739276065617976,-0.07090908009269138,0.04395157257886488,0.0876782355189554,0.09809840204612853,0.12928769683687338,0.1721195954595397,0.0057616419915548145,0.027450279603082377,0.20781923014849482,-0.031290222175553585
37情報検索,0.34257918454965136,0.09157635874398037,0.02008788386116261,0.1197764453073799,-0.10937370785324708,-0.0415148397632843,0.17726410828107197,0.4011625192723355,0.44211981132386774,1.0,0.5478617649480011,0.36461002807142195,0.36231163596824645,0.27174392049353496,0.024930306826865384,0.32241471634646757,0.29951988091197296,0.10565795184912427,0.08263925590552525,0.11433998015680749,-0.09187972589732982,0.14781520472902832,0.12697294621182897,0.17779027238722747,0.2578335480586566,0.25244285592804877,0.18686017109425085,0.1909675322032582,0.05293927835415916,0.14976073648869187,0.2507462658452066,-0.05800550303602817,0.05524762269947219,0.10525666038659798,0.17793754770091802,0.11742611346986406,0.2048700971058133,0.2952519631687754,0.1771371251578043,0.22860501100694658,-0.011983678394369724,0.1321281451691696,0.09407628437764043,-0.14016864198125334,0.3247332017539712,0.28743739597108586,0.18976390618804131,0.16105509771592438,0.1774629360535066,-0.045112059195846606,-0.10846556157884192,0.1867686228754202,-0.1291857809513676
37地図・ナビゲーション,0.4302055963771186,-0.07927989438343164,-0.18128430226401873,0.16809402803891837,-0.1389628111341932,0.034146829896478485,0.16571323830342538,0.489211848618514,0.6269439983997647,0.5478617649480011,1.0,0.4191205735422643,0.38099178185630017,0.3980852123154935,0.11166235141843993,0.4062678907478025,0.38767105459049417,0.12616303535636833,0.051103994265170045,0.13619832160209597,0.0638065684571039,0.22049171482097016,0.18441592896340353,0.1520775707151597,0.31576260173034704,0.3627597294060776,0.26843544242468603,0.17787527980170986,0.08988787074148712,0.18280757222375585,0.22573859323004783,0.16062101633362907,-0.07255194653006104,-0.04240574989030701,0.20271458361941813,0.09330046725385939,0.10604315469966966,0.14705311910695879,0.17193333052723553,0.1649891241087013,0.03787044343904351,0.03239903343177798,0.11629548571185609,-0.11152086482302022,0.18156108852046396,0.16588679511087995,0.1343081601375206,0.1308872437875668,0.2412770712428615,0.0809196474322976,-0.027649471589345644,0.24187559995590863,-0.1678451721193221
37音楽視聴,0.31801563147426504,-0.16778894885916246,-0.2238453419004926,0.02764950714098818,-0.0826829307467615,-0.2047464745770196,0.2863682661467843,0.5349288446607179,0.4503504933558657,0.36461002807142195,0.4191205735422643,1.0,0.5126130216835925,0.43637301470204537,0.039473176216613205,0.4445877246973202,0.19234186792867305,0.1247062180586741,0.035510801204831896,0.1900705837628836,0.03937986885525334,0.16890274752392784,0.193790192541629,0.12390374293672911,0.23931158118911527,0.2887440980732004,0.34035342302469185,0.32212286004328755,0.20098796259598461,0.13354503712925628,0.24127441164491334,0.029449442907150562,-0.04361653053360637,0.046968262483555866,0.10971396963371952,-0.005584139816742232,0.09280810649234644,0.10355452657799645,0.20803757530147024,0.12286429196344673,-0.09207966038877671,0.016098073417676297,0.1475685996713577,-0.07685767734781897,-0.004805654038584804,0.06994249258788557,0.20658291219605837,0.18176764984229118,0.15319277131974363,-0.04838838422868559,-0.25643671923839656,0.2679770097707277,0.011204283193328534
37動画視聴,0.30954963258514645,-0.14100018155471616,-0.14626630632482315,0.22541786885678405,-0.14954009929278206,0.028007965438715983,0.3245929018465175,0.34177490547060335,0.4317184026466941,0.36231163596824645,0.38099178185630017,0.5126130216835925,1.0,0.36815634937951863,0.14987744670906047,0.3424706507523913,0.26810925366789184,0.014260569122756103,0.06788341422131415,0.16279289525342736,-0.0559125700310204,0.19735087770724025,0.1940836171586092,0.09454001099522652,0.23447171677620723,0.2358814207702846,0.2582941686502596,0.22738993123371015,0.03317454480722851,0.16241686599987057,0.21870449844359233,-0.04166862141125676,-0.11504157120211089,0.05823986276792524,0.2263492623465363,0.0708905817799763,0.09828987389877403,0.17609169159530094,0.2216427866103594,0.12640240555635257,0.041866942740933936,0.08403081639209553,0.20142628276071853,-0.027237725305570976,0.09047074068632693,0.01995953729993084,0.26714470321030653,0.2645409273490517,0.2839931999207687,-0.057625914537451826,-0.09022415702765144,0.0992849235518984,-0.14786511785594672
37電子書籍,0.2548715353851248,0.03774644497597183,-0.06169165007947571,0.09222853673238293,-0.0980595546780611,-0.030896044704211614,0.3058955772733147,0.35854669363454433,0.45226384619533916,0.27174392049353496,0.3980852123154935,0.43637301470204537,0.36815634937951863,1.0,0.20847946453035748,0.32663979425720774,0.16387019684740053,0.046024955244529715,-0.024531453507628274,0.08928634046570198,-0.014626491380699875,0.0790196241707525,0.1261478276044226,0.05610030946094234,0.13745306374441774,0.15872848651303462,0.17047149037826692,0.15484089058245482,-0.06118431353241366,0.1338163185280259,0.05572814712381696,-0.009800445461649633,-0.10955314293436096,0.1030249003991896,0.17561678365903124,-0.03892545243157744,-0.016213756915276357,0.004756081259228093,0.22999910823988454,0.12715003073500808,0.03511407205565513,0.09917154443885545,0.11274605028805722,0.028432258832840077,0.016760031626099438,0.1188760584052447,-0.008953953530312461,0.18696148240782523,0.07881097411991426,0.052246949785145505,-0.12992374946610202,0.1482957602869673,-0.03879190941258117
37ゲーム,0.04744932624069067,0.008428548677722157,-0.05855480323750879,0.1295773274196204,0.16894611163818463,0.43531397840707575,0.23699452368532714,0.13134256027330554,0.08404007677227353,0.024930306826865384,0.11166235141843993,0.039473176216613205,0.14987744670906047,0.20847946453035748,1.0,0.15149465837343468,0.2594561196463901,-0.022944491003940318,-0.04906259838200672,0.04438657598726496,-0.050857842235149546,-0.021361003581737585,0.17098578753681345,0.07325618232813468,0.054840766214186515,0.04790400719518284,0.13222931864685505,0.014124242769741297,-0.057544993568804007,0.19552294136302303,0.1832212776537897,-0.01251333901394639,-0.1748348471031011,0.008509440408601883,0.06656261599352219,-0.0021551779711236033,0.07916682856532935,0.17218057945274978,0.23347195676808907,0.1557757975475725,0.03677133297540098,0.06003044250434989,-0.053063103162025956,0.0720640226146714,0.079402813252155,0.16098798162403818,0.10436575126802637,0.09418133994658585,0.23714673361342808,0.008503835251217949,0.14345463840996628,0.01802014699750304,-0.16446506102470843
37ショッピング・オークション,0.18544526035075556,-0.1181504226447716,-0.20206206950075764,-0.0033798703782948196,-0.14173641249194005,0.04458394677578496,0.2329035234433696,0.41478817782607813,0.34425654294219704,0.32241471634646757,0.4062678907478025,0.4445877246973202,0.3424706507523913,0.32663979425720774,0.15149465837343468,1.0,0.36257141045019203,0.04294110533052857,0.07423503673619658,0.23166620165409166,0.04895443462683811,0.1011733921374721,0.27454004132160015,0.40513600601595373,0.24449066055199126,0.3218229100436256,0.501611332445097,0.4952413112406712,0.21599360848757168,0.40370084826524777,0.1826806093493209,-0.08705423984887875,-0.15222383613474164,-0.025825620197599795,0.06952991590333936,0.015518001376576442,-0.0060116628455449805,0.11741638433236026,0.18828608061819732,0.14291737612069544,-0.023825861814239374,0.16852275905538763,0.07977934705102734,0.02315751065088438,0.17365492266366891,0.16477439844093214,0.14700113649158073,0.2540422585598865,0.3232115068057975,0.038411848926025186,-0.2214015243961739,0.09741726005261188,-0.02186107720129708
52平均（分）,0.4392137535783069,-0.06257106284940273,-0.04149551906993581,-0.015518908991221164,0.005001374343893903,0.15631046960102957,0.24767353674237888,0.39010307915246223,0.22965447822963433,0.29951988091197296,0.38767105459049417,0.19234186792867305,0.26810925366789184,0.16387019684740053,0.2594561196463901,0.36257141045019203,1.0,0.22479471383161584,0.1857275624645489,0.28301978217254453,-0.0010841633523533884,0.12928215805217386,0.27633069576543107,0.37253740482080044,0.2671694329359941,0.41557197536179347,0.411285827973828,0.34352529162084655,0.12440621566528451,0.2977056243699494,0.2666981959557117,0.057923021738944716,-0.3313990299394225,-0.17262958820956134,0.1559509805816516,0.13763844180213483,0.15675738850557064,0.2687832121965742,0.21376341511638594,0.1898609179834911,-0.11534192028942612,-0.014394477608391878,0.0591750721933703,0.07162030733150741,0.19979814114864727,0.13444886253274332,0.11321004253290647,0.15315913957426064,0.34848659332642845,-0.06902037452783864,0.026251456163496563,0.3139424807114455,-0.03873772710528564
